0,5,1.15398E+11
5,10,1370964401
10,15,390883911
15,20,218581278
20,25,144384561
25,30,99694858
30,35,68263616
35,40,50848763
40,45,40819495
45,50,33521053
50,55,28048564
55,60,19970544
60,65,15625758
65,70,12612965
70,75,10736580
75,80,9119356
80,85,7933173
85,90,6781950
90,95,5735538
95,100,4752183
100,105,3925869
105,110,3295262
110,115,2947555
115,120,2656837
120,125,2410996
125,130,2379836
130,135,2109074
135,140,1842189
140,145,1742923
145,150,1701583
150,155,1483840
155,160,1569144
160,165,1775681
165,170,1889640
170,175,3683163
175,180,4118317
180,185,3634819
185,190,3350691
190,195,3301825
195,200,2683274
200,205,2039340
205,210,2087726
210,215,2253473
215,220,1959294
220,225,1574191
225,230,1723875
230,235,1517596
235,240,1138891
240,245,1347872
245,250,900910
